zone_id,bn_prob,eta_min,severity,action,scored_at
dock-a,0.313,,normal,,1772553277664
dock-b,0.317,,normal,,1772553277664
stage-in,0.222,,normal,,1772553277664
aisle-1-4,0.384,,normal,,1772553277664
aisle-5-8,0.371,,normal,,1772553277664
aisle-9-12,0.308,,normal,,1772553277664
pick-a,0.421,,normal,,1772553277664
pick-b,0.268,,normal,,1772553277664
pack,0.308,,normal,,1772553277664
stage-out,0.347,,normal,,1772553277664
dock-c,0.321,,normal,,1772553277664
dock-d,0.217,,normal,,1772553277664
dock-a,0.263,,normal,,1772553281664
dock-b,0.293,,normal,,1772553281664
stage-in,0.245,,normal,,1772553281664
aisle-1-4,0.379,,normal,,1772553281664
aisle-5-8,0.387,,normal,,1772553281664
aisle-9-12,0.276,,normal,,1772553281664
pick-a,0.389,,normal,,1772553281664
pick-b,0.32,,normal,,1772553281664
pack,0.331,,normal,,1772553281664
stage-out,0.459,16.5,normal,,1772553281664
dock-c,0.331,,normal,,1772553281664
dock-d,0.227,,normal,,1772553281664
dock-a,0.291,,normal,,1772553285664
dock-b,0.272,,normal,,1772553285664
stage-in,0.248,,normal,,1772553285664
aisle-1-4,0.398,,normal,,1772553285664
aisle-5-8,0.316,,normal,,1772553285664
aisle-9-12,0.231,,normal,,1772553285664
pick-a,0.415,,normal,,1772553285664
pick-b,0.372,,normal,,1772553285664
pack,0.342,,normal,,1772553285664
stage-out,0.452,16.7,normal,,1772553285664
dock-c,0.346,,normal,,1772553285664
dock-d,0.329,,normal,,1772553285664
dock-a,0.232,,normal,,1772553289664
dock-b,0.282,,normal,,1772553289664
stage-in,0.286,,normal,,1772553289664
aisle-1-4,0.457,16.6,normal,,1772553289664
aisle-5-8,0.29,,normal,,1772553289664
aisle-9-12,0.302,,normal,,1772553289664
pick-a,0.413,,normal,,1772553289664
pick-b,0.443,,normal,,1772553289664
pack,0.35,,normal,,1772553289664
stage-out,0.432,,normal,,1772553289664
dock-c,0.332,,normal,,1772553289664
dock-d,0.361,,normal,,1772553289664
dock-a,0.19,,normal,,1772553293664
dock-b,0.26,,normal,,1772553293664
stage-in,0.252,,normal,,1772553293664
aisle-1-4,0.483,15.9,normal,,1772553293664
aisle-5-8,0.293,,normal,,1772553293664
aisle-9-12,0.3,,normal,,1772553293664
pick-a,0.409,,normal,,1772553293664
pick-b,0.425,,normal,,1772553293664
pack,0.362,,normal,,1772553293664
stage-out,0.393,,normal,,1772553293664
dock-c,0.332,,normal,,1772553293664
dock-d,0.308,,normal,,1772553293664
dock-a,0.172,,normal,,1772553297664
dock-b,0.292,,normal,,1772553297664
stage-in,0.236,,normal,,1772553297664
aisle-1-4,0.439,,normal,,1772553297664
aisle-5-8,0.329,,normal,,1772553297664
aisle-9-12,0.298,,normal,,1772553297664
pick-a,0.36,,normal,,1772553297664
pick-b,0.48,16.0,normal,,1772553297664
pack,0.324,,normal,,1772553297664
stage-out,0.435,,normal,,1772553297664
dock-c,0.351,,normal,,1772553297664
dock-d,0.335,,normal,,1772553297664
dock-a,0.275,,normal,,1772553301664
dock-b,0.232,,normal,,1772553301664
stage-in,0.191,,normal,,1772553301664
aisle-1-4,0.43,,normal,,1772553301664
aisle-5-8,0.347,,normal,,1772553301664
aisle-9-12,0.37,,normal,,1772553301664
pick-a,0.249,,normal,,1772553301664
pick-b,0.443,,normal,,1772553301664
pack,0.315,,normal,,1772553301664
