zone_id,throughput,utilization,queue,workers,robots,timestamp
dock-a,52,53.8,8,5,0,1772553277664
dock-b,65,53.7,11,6,0,1772553277664
stage-in,73,64.0,6,7,0,1772553277664
aisle-1-4,83,64.2,18,6,0,1772553277664
aisle-5-8,75,52.2,12,2,4,1772553277664
aisle-9-12,70,58.8,6,2,3,1772553277664
pick-a,63,60.1,16,4,3,1772553277664
pick-b,63,46.1,10,3,3,1772553277664
pack,62,59.3,13,6,0,1772553277664
stage-out,79,42.5,21,4,0,1772553277664
dock-c,62,56.3,19,8,0,1772553277664
dock-d,70,52.9,6,5,0,1772553277664
dock-a,55,52.4,11,5,0,1772553279664
dock-b,63,53.7,9,6,0,1772553279664
stage-in,75,65.7,4,7,0,1772553279664
aisle-1-4,84,64.5,21,6,0,1772553279664
aisle-5-8,78,52.5,12,2,4,1772553279664
aisle-9-12,66,57.8,4,2,3,1772553279664
pick-a,66,58.6,19,4,3,1772553279664
pick-b,62,47.2,13,3,3,1772553279664
pack,59,57.4,14,6,0,1772553279664
stage-out,79,44.4,24,4,0,1772553279664
dock-c,63,54.8,18,8,0,1772553279664
dock-d,66,54.3,8,5,0,1772553279664
dock-a,54,51.8,8,5,0,1772553281664
dock-b,67,53.7,12,6,0,1772553281664
stage-in,80,64.6,6,7,0,1772553281664
aisle-1-4,85,64.5,24,6,0,1772553281664
aisle-5-8,78,52.8,12,2,4,1772553281664
aisle-9-12,70,58.4,4,2,3,1772553281664
pick-a,71,57.2,21,4,3,1772553281664
pick-b,67,47.7,10,3,3,1772553281664
pack,61,58.0,16,6,0,1772553281664
stage-out,76,44.1,26,4,0,1772553281664
dock-c,63,54.4,18,8,0,1772553281664
dock-d,65,53.1,8,5,0,1772553281664
dock-a,53,52.5,10,5,0,1772553283664
dock-b,64,53.8,10,6,0,1772553283664
stage-in,85,66.4,7,7,0,1772553283664
aisle-1-4,88,64.0,26,6,0,1772553283664
aisle-5-8,76,51.9,13,2,4,1772553283664
aisle-9-12,70,58.5,3,2,3,1772553283664
pick-a,68,56.8,19,4,3,1772553283664
pick-b,69,46.6,10,3,3,1772553283664
pack,62,57.2,17,6,0,1772553283664
stage-out,76,43.4,25,4,0,1772553283664
dock-c,59,55.7,17,8,0,1772553283664
dock-d,62,52.7,9,5,0,1772553283664
dock-a,52,53.6,7,5,0,1772553285664
dock-b,64,52.5,12,6,0,1772553285664
stage-in,85,66.3,9,7,0,1772553285664
aisle-1-4,87,65.2,23,6,0,1772553285664
aisle-5-8,75,50.6,10,2,4,1772553285664
aisle-9-12,71,57.8,2,2,3,1772553285664
pick-a,64,55.4,18,4,3,1772553285664
pick-b,66,48.2,13,3,3,1772553285664
pack,60,56.2,15,6,0,1772553285664
